"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","437.975","2.653","3.946","19.534","176","9.303","84"
"Bayern","589.474","4.419","4.491","21.127","161","14.101","107"
"Berlin","167.097","1.051","4.554","4.776","130","3.209","87"
"Brandenburg","101.415","705","4.021","2.861","113","3.552","141"
"Bremen","25.003","191","3.670","1.008","148","453","67"
"Hamburg","71.231","319","3.856","1.634","88","1.483","80"
"Hessen","260.590","2.103","4.144","10.684","170","6.834","109"
"Mecklenburg-
Vorpommern","39.661","363","2.466","2.124","132","985","61"
"Niedersachsen","235.608","1.842","2.947","8.378","105","5.281","66"
"Nordrhein-Westfalen","730.086","5.419","4.068","30.727","171","15.435","86"
"Rheinland-Pfalz","138.741","1.179","3.389","5.523","135","3.544","87"
"Saarland","36.979","363","3.747","1.417","144","957","97"
"Sachsen","260.386","2.208","6.395","8.727","214","9.041","222"
"Sachsen-Anhalt","89.581","744","4.082","3.733","170","3.069","140"
"Schleswig-Holstein","58.271","289","2.007","1.951","67","1.507","52"
"Thüringen","115.170","888","5.398","4.595","215","3.790","178"
"Gesamt","3.357.268","24.736","4.037","128.799","155","82.544","99"
