"0","1","2","3"
"Todesfälle 
 
Fälle kumulativ 
Letzte 7 Tage 
kumulativ 
Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Vortag 
Einw. 
Einw. 
Einw.","","",""
"Baden-
Württemberg","186.044 
3.086 
1.676","20.026 
180","3.400 
30,6"
"Bayern","256.903 
3.834 
1.957","26.282 
200","4.848 
36,9"
"Berlin","78.248 
1.040 
2.132","6.859 
187","813 
22,2"
"Brandenburg","26.434 
616 
1.048","3.413 
135","481 
19,1"
"Bremen","11.661 
173 
1.712","915 
134","154 
22,6"
"Hamburg","29.135 
515 
1.577","2.317 
125","478 
25,9"
"Hessen","107.361 
1.427 
1.707","11.076 
176","1.749 
27,8"
"Mecklenburg-
Vorpommern","8.069 
199 
502","1.334 
83","96 
6,0"
"Niedersachsen","84.771 
836 
1.060","6.821 
85","1.419 
17,8"
"Nordrhein-
Westfalen","314.937 
4.005 
1.755","29.131 
162","4.455 
24,8"
"Rheinland-Pfalz","55.536 
567 
1.357","6.080 
149","846 
20,7"
"Saarland","15.588 
128 
1.580","1.590 
161","301 
30,5"
"Sachsen","84.245 
2.019 
2.069","14.197 
349","1.652 
40,6"
"Sachsen-Anhalt","18.152 
449 
827","3.121 
142","271 
12,3"
"Schleswig-Holstein","17.960 
445 
619","2.294 
79","291 
10,0"
"Thüringen","25.672 
861 
1.203","4.927 
231","533 
25,0"
"Gesamt","1.320.716 
20.200 
1.588","140.383 
169","21.787 
26,2"
