"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","476.489","1.165","4.293","11.888","107","9.686","87"
"Bayern","623.854","1.230","4.753","11.259","86","14.576","111"
"Berlin","175.019","455","4.770","2.470","67","3.399","93"
"Brandenburg","106.281","136","4.214","1.623","64","3.673","146"
"Bremen","26.472","29","3.886","457","67","468","69"
"Hamburg","74.824","155","4.051","994","54","1.531","83"
"Hessen","278.351","536","4.427","6.272","100","7.118","113"
"Mecklenburg-
Vorpommern","42.792","45","2.661","961","60","1.075","67"
"Niedersachsen","251.472","659","3.146","4.940","62","5.469","68"
"Nordrhein-Westfalen","782.511","1.685","4.360","16.592","92","16.222","90"
"Rheinland-Pfalz","148.396","538","3.625","3.301","81","3.639","89"
"Saarland","39.460","42","3.998","893","90","977","99"
"Sachsen","277.434","610","6.813","4.993","123","9.372","230"
"Sachsen-Anhalt","96.166","233","4.382","2.021","92","3.216","147"
"Schleswig-Holstein","61.468","119","2.117","1.134","39","1.553","53"
"Thüringen","123.945","257","5.810","2.818","132","4.051","190"
"","3.584.934","7.894","4.311","72.616","87","86.025","103"
