"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
100.000 
100.000 
100.000 
Bundesland 
Fälle 
Fälle 
Fälle 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","421.248","3.793","3.795","20.476","184","9.160","83"
"Bayern","571.546","4.509","4.355","23.691","181","13.915","106"
"Berlin","162.778","1.135","4.436","4.952","135","3.174","86"
"Brandenburg","99.053","558","3.928","3.375","134","3.492","138"
"Bremen","24.230","217","3.557","1.126","165","443","65"
"Hamburg","69.556","416","3.765","2.005","109","1.447","78"
"Hessen","251.353","2.010","3.997","10.411","166","6.715","107"
"Mecklenburg-
Vorpommern","37.875","483","2.355","2.274","141","956","59"
"Niedersachsen","227.807","2.061","2.850","9.131","114","5.194","65"
"Nordrhein-Westfalen","703.887","6.938","3.922","32.491","181","15.159","84"
"Rheinland-Pfalz","133.941","1.142","3.272","5.822","142","3.504","86"
"Saarland*","35.921","288","3.640","1.550","157","947","96"
"Sachsen","252.173","1.902","6.193","8.521","209","8.863","218"
"Sachsen-Anhalt","86.058","883","3.921","3.710","169","2.992","136"
"Schleswig-Holstein","56.669","419","1.952","2.134","73","1.495","51"
"Thüringen","111.158","789","5.210","4.762","223","3.702","174"
"Gesamt","3.245.253","27.543","3.902","136.431","164","81.158","98"
