"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ 
Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Vortag 
Einw. 
Einw. 
Einw.","","",""
"Baden-Württemberg","47.353 
246 
428","1.690 
15,3","1.871 
16,9"
"Bayern","65.331 
412 
500","2.636 
20,2","2.651 
20,3"
"Berlin","13.257 
148 
354","854 
22,8","227 
6,1"
"Brandenburg","4.101 
11 
163","70 
2,8","169 
6,7"
"Bremen","2.223 
4 
325","84 
12,3","59 
8,6"
"Hamburg","7.230 
65 
393","296 
16,1","269 
14,6"
"Hessen","17.757 
120 
283","748 
11,9","545 
8,7"
"Mecklenburg-Vorpommern","1.123 
18 
70","57 
3,5","20 
1,2"
"Niedersachsen","18.964 
64 
238","822 
10,3","670 
8,4"
"Nordrhein-Westfalen","65.753 
521 
367","2.839 
15,8","1.848 
10,3"
"Rheinland-Pfalz","10.183 
67 
249","357 
8,7","248 
6,1"
"Saarland","3.234 
0 
326","56 
5,7","176 
17,8"
"Sachsen","6.774 
82 
166","294 
7,2","227 
5,6"
"Sachsen-Anhalt","2.457 
4 
111","90 
4,1","66 
3,0"
"Schleswig-Holstein","4.460 
39 
154","195 
6,7","161 
5,6"
"Thüringen","3.958 
20 
185","133 
6,2","189 
8,8"
"Gesamt","274.158 
1.821 
330","11.221 
13,5","9.396 
11,3"
