"0","1","2","3","4","5","6","7"
"Letzte 7 Tage 
Fälle kumulativ 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
100.000 
100.000 
100.000 
Fälle 
Fälle 
Fälle 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","373.964","829","3.369","11.170","101","8.795","79,2"
"Bayern","513.473","2.280","3.912","15.831","121","13.387","102,0"
"Berlin","149.829","601","4.083","3.857","105","3.089","84,2"
"Brandenburg","90.448","176","3.587","2.753","109","3.344","132,6"
"Bremen","21.550","38","3.164","695","102","411","60,3"
"Hamburg","63.509","304","3.438","2.213","120","1.398","75,7"
"Hessen","226.031","811","3.595","7.526","120","6.410","101,9"
"Mecklenburg-
Vorpommern","31.895","165","1.983","1.222","76","881","54,8"
"Niedersachsen","203.838","629","2.550","6.800","85","4.939","61,8"
"Nordrhein-Westfalen","629.820","2.038","3.509","19.837","111","14.403","80,3"
"Rheinland-Pfalz","120.131","383","2.934","3.930","96","3.353","81,9"
"Saarland","32.500","70","3.293","734","74","929","94,1"
"Sachsen","227.862","511","5.596","6.090","150","8.449","207,5"
"Sachsen-Anhalt","75.864","300","3.457","3.054","139","2.756","125,6"
"Schleswig-Holstein","51.436","237","1.771","1.813","62","1.447","49,8"
"Thüringen","98.295","305","4.607","4.014","188","3.410","159,8"
"Gesamt","2.910.445","9.677","3.500","91.539","110","77.401","93,1"
