"0","1","2","3","4","5","6","7","8","9","10"
"70 - 79 Jahre 
80+ Jahre","","","","","","","","","",""
"Bundesland 
Anzahl 1. 
Impfquote 
Anzahl 2. 
Impfquote 
Anzahl 1. 
Impfquote 
Anzahl 2. 
Impfquote 
Bevölkerung 
Bevölkerung 
Impfungen 
(1.) in % 
Impfungen  
(2.) in % 
Impfungen 
(1.) in % 
Impfungen  
(2.) in %","","","","","","","","","",""
"Baden-
Württemberg","939.740","205.942","21,9%","36.968","3,9%","720.138","478.834","66,5%","367.108","51,0%"
"Bremen","62.086","20.321","32,7%","2.708","4,4%","45.522","36.561","80,3%","22.225","48,8%"
"Hamburg","147.920","21.030","14,2%","5.141","3,5%","107.709","77.448","71,9%","57.126","53,0%"
"Mecklenburg-
Vorpommern","156.368","14.823","9,5%","5.476","3,5%","126.684","84.433","66,6%","43.586","34,4%"
"Niedersachsen","745.526","106.099","14,2%","18.736","2,5%","554.368","447.812","80,8%","296.151","53,4%"
"Nordrhein-
Westfalen","1.571.456","136.420","8,7%","41.325","2,6%","1216715","819.290","67,3%","515.339","42,4%"
"Rheinland-Pfalz","362.245","46.585","12,9%","6904","1,9%","282.032","216.940","76,9%","122.924","43,6%"
"Saarland","94.266","22.877","24,3%","2.074","2,2%","75.795","58.666","77,4%","41.511","54,8%"
"Schleswig-
Holstein","295.931","55.810","18,9%","7.002","2,4%","207.658","175.437","84,5%","65.118","31,4%"
