"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","491.971","758","4.432","4.852","44","9.940","90"
"Bayern","638.817","585","4.867","4.720","36","14.939","114"
"Berlin","178.200","-21","4.856","1.202","33","3.481","95"
"Brandenburg","108.201","43","4.290","504","20","3.727","148"
"Bremen","27.072","44","3.974","223","33","473","69"
"Hamburg","76.166","69","4.123","414","22","1.563","85"
"Hessen","286.463","352","4.556","2.657","42","7.325","116"
"Mecklenburg-
Vorpommern","43.827","19","2.725","236","15","1.120","70"
"Niedersachsen","257.956","295","3.227","1.843","23","5.608","70"
"Nordrhein-Westfalen","804.733","1.039","4.484","7.203","40","16.717","93"
"Rheinland-Pfalz","152.578","154","3.727","1.295","32","3.724","91"
"Saarland","40.711","24","4.125","311","32","1.006","102"
"Sachsen","283.590","207","6.964","1.602","39","9.675","238"
"Sachsen-Anhalt","98.365","91","4.482","641","29","3.313","151"
"Schleswig-Holstein","63.017","70","2.170","520","18","1.593","55"
"Thüringen","127.481","123","5.976","1.014","48","4.202","197"
"Gesamt","3.679.148","3.852","4.424","29.237","35","88.406","106"
