"0","1"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ 
Differenz 
Fälle/ 
Fälle/ 
Fälle/ 
Fälle 
Fälle 
Fälle 
Bundesland 
Vortag 
100.000 EW 
100.000 EW 
100.000 EW",""
"Baden-Württemberg","230.029 
1.136 
2.072 
16.947 
153 
4.486 
40,4"
"Bayern","312.972 
1.881 
2.385 
22.022 
168 
6.265 
47,7"
"Berlin","93.796 
815 
2.556 
6.235 
170 
1.149 
31,3"
"Brandenburg","37.137 
342 
1.473 
3.524 
140 
788 
31,2"
"Bremen","13.205 
40 
1.938 
611 
90 
183 
26,9"
"Hamburg","35.331 
221 
1.913 
2.565 
139 
589 
31,9"
"Hessen","131.804 
370 
2.096 
9.582 
152 
2.511 
39,9"
"Mecklenburg-
Vorpommern","11.055 
116 
687 
1.239 
77 
143 
8,9"
"Niedersachsen","103.244 
394 
1.292 
7.690 
96 
1.802 
22,5"
"Nordrhein-Westfalen","380.487 
2.382 
2.120 
26.430 
147 
6.066 
33,8"
"Rheinland-Pfalz","69.197 
439 
1.690 
5.073 
124 
1.272 
31,1"
"Saarland","19.322 
172 
1.958 
1.499 
152 
412 
41,7"
"Sachsen","124.189 
1.739 
3.050 
15.121 
371 
2.733 
67,1"
"Sachsen-Anhalt","27.438 
374 
1.250 
4.014 
183 
515 
23,5"
"Schleswig-Holstein","23.524 
191 
810 
2.496 
86 
376 
12,9"
"Thüringen","39.104 
364 
1.833 
6.149 
288 
836 
39,2"
"Gesamt","1.651.834 
10.976 
1.986 
131.197 
158 
30.126 
36,2"
