"0","1","2"
"Age group","","week 12 - 20, 
week 21 - 39, 
week 40 - 48,  
week 49  
2020 
2020 
2020 
2020"
"0 to 14 years","SARI cases (total)","322 
869 
448 
22"
"","Proportion of COVID-19 (%)","0.3% 
0.2% 
3.1% 
0.0%"
"15 to 34 years","SARI cases (total)","178 
188 
278 
20"
"","Proportion of COVID-19 (%)","19% 
13% 
53% 
70%"
"35 to 59 years","SARI cases (total)","534 
510 
997 
100"
"","Proportion of COVID-19 (%)","31% 
13% 
66% 
77%"
"60 years and older","SARI cases (total)","1,689 
2,076 
2,876 
283"
"","Proportion of COVID-19 (%)","19% 
2.6% 
53% 
73%"
"Overall","SARI cases (total)","2,723 
3,643 
4,599 
425"
"","Proportion of COVID-19 (%)","19% 
4.0% 
51% 
70%"
