"0","1","2","3"
"Cumulative cases  
Last 7 days 
Cumulative deaths","","",""
"7-day 
Cases/ 
Cases in 
Number of 
Total number 
Number of 
incidence/ 
Number of 
Federal State 
100,000 
the last 
deaths/ 
of cases 
new cases 
100,000 
deaths 
pop. 
7 days 
100,000 pop. 
pop.","","",""
"Baden-Wuerttemberg","319,904 
1,378 
2,882","6,044 
54","8,187 
73.8"
"Bavaria","441,588 
1,842 
3,365","8,928 
68","12,558 
95.7"
"Berlin","130,523 
446 
3,557","2,267 
62","2,861 
78.0"
"Brandenburg","77,335 
313 
3,067","1,621 
64","3,064 
121.5"
"Bremen","18,258 
109 
2,680","516 
76","350 
51.4"
"Hamburg","52,454 
234 
2,840","1,253 
68","1,296 
70.2"
"Hesse","190,675 
932 
3,032","4,279 
68","5,894 
93.7"
"Mecklenburg- 
Western Pomerania","25,107 
248 
1,561","1,130 
70","757 
47.1"
"Lower Saxony","166,950 
1,112 
2,089","4,711 
59","4,391 
54.9"
"North Rhine-Westphalia","538,211 
2,473 
2,999","11,268 
63","13,264 
73.9"
"Rhineland-Palatinate","103,130 
431 
2,519","1,989 
49","3,133 
76.5"
"Saarland","29,240 
143 
2,963","652 
66","881 
89.3"
"Saxony","196,121 
859 
4,816","3,142 
77","7,909 
194.2"
"Saxony-Anhalt","61,529 
410 
2,803","1,863 
85","2,462 
112.2"
"Schleswig-Holstein","43,117 
292 
1,485","1,386 
48","1,316 
45.3"
"Thuringia","77,800 
690 
3,647","2,721 
128","2,917 
136.7"
"Total","2,471,942 
11,912 
2,972","53,770 
65","71,240 
85.7"
