"0","1","2","3"
"Federal State","Total 
Number 
Cases/ 
number 
of new 
100,000 
of cases 
cases* 
pop.","7-day 
Cases in 
incidence 
the last 
per 
7 days 
100,000 
pop.","Number of 
Number 
deaths/ 
of 
100,000 
deaths 
pop."
"Baden-Wuerttemberg","162,349 
3336 
1463","15,500 
140","2,978 
26.8"
"Bavaria","226,357 
3997 
1725","22,575 
172","4,249 
32.4"
"Berlin","69,768 
1260 
1901","5,843 
159","657 
17.9"
"Brandenburg","21,769 
646 
863","2,728 
108","415 
16.5"
"Bremen","10,632 
133 
1561","764 
112","133 
19.5"
"Hamburg","26,272 
497 
1422","1,685 
91","407 
22.0"
"Hesse","94,437 
1612 
1502","8,941 
142","1,441 
22.9"
"Mecklenburg- 
Western Pomerania","6,605 
159 
411","784 
49","73 
4.5"
"Lower Saxony","76,295 
1561 
954","5,863 
73","1,256 
15.7"
"North Rhine-Westphalia","281,492 
4795 
1568","25,191 
140","3,892 
21.7"
"Rhineland-Palatinate","48,260 
1120 
1179","5,343 
131","644 
15.7"
"Saarland","13,643 
431 
1382","1,246 
126","268 
27.2"
"Saxony","65,830 
2295 
1617","11,421 
280","1,224 
30.1"
"Saxony-Anhalt","14,340 
514 
653","2,328 
106","202 
9.2"
"Schleswig-Holstein","15,392 
310 
530","1,358 
47","264 
9.1"
"Thuringia","20,115 
652 
943","3,551 
166","414 
19.4"
"Total","1,153,556 
23,318 
1387","115,121 
138","18,517 
22.3"
