"0","1","2","3"
"Cumulative cases  
Last 7 days 
Cumulative deaths","","",""
"7-day 
Cases/ 
Cases in 
Number of 
Total number 
Number of 
incidence/ 
Number of 
Federal State 
100,000 
the last 
deaths/ 
of cases 
new cases 
100,000 
deaths 
pop. 
7 days 
100,000 pop. 
pop.","","",""
"Baden-Wuerttemberg","309,999 
995 
2,793","4,653 
42","7,926 
71.4"
"Bavaria","427,177 
1,351 
3,255","7,302 
56","12,099 
92.2"
"Berlin","126,573 
372 
3,449","1,915 
52","2,720 
74.1"
"Brandenburg","74,598 
240 
2,958","1,621 
64","2,907 
115.3"
"Bremen *","17,340 
170 
2,546","483 
71","321 
47.1"
"Hamburg","49,901 
154 
2,701","1,052 
57","1,216 
65.8"
"Hesse","183,697 
586 
2,921","3,606 
57","5,642 
89.7"
"Mecklenburg- 
Western Pomerania","23,218 
198 
1,444","1,082 
67","685 
42.6"
"Lower Saxony","157,928 
1,350 
1,976","4,871 
61","4,084 
51.1"
"North Rhine-Westphalia","518,759 
1,722 
2,890","10,392 
58","12,595 
70.2"
"Rhineland-Palatinate","99,553 
348 
2,432","1,972 
48","2,989 
73.0"
"Saarland","28,056 
118 
2,843","517 
52","848 
85.9"
"Saxony","189,971 
437 
4,665","2,637 
65","7,443 
182.8"
"Saxony-Anhalt","58,168 
363 
2,650","1,914 
87","2,285 
104.1"
"Schleswig-Holstein","40,796 
259 
1,405","1,464 
50","1,205 
41.5"
"Thuringia","73,149 
501 
3,429","2,561 
120","2,731 
128.0"
"Total","2,378,883 
9,164 
2,860","48,042 
58","67,696 
81.4"
