"0","1","2","3","4","5","6"
"Bundesland","Impfzentren, Mobile Teams, 
Krankenhäuser","","Arztpraxen (Vertragsärzte und 
Privatärzte)","","Betriebsärzte",""
"","Erstimpfungen","Zweitimpfungen","Erstimpfungen","Zweitimpfungen","Erstimpfungen","Zweitimpfungen"
"","Gesamt","Gesamt","Gesamt","Gesamt","Gesamt","Gesamt"
"Baden-
Württemberg","3.590.752","2.369.736","2.037.745","934.853","59.081","1.196"
"Bayern","3.725.481","2.817.132","2.593.124","1.168.218","67.885","899"
"Berlin","1.166.222","726.316","750.230","342.901","9.450","136"
"Brandenburg","715.707","450.904","549.764","246.656","3.612","23"
"Bremen","275.481","153.613","118.986","51.020","3.883","36"
"Hamburg","560.193","396.366","331.799","141.000","11.795","81"
"Hessen","2.015.986","1.289.780","1.168.922","520.165","23.442","1.101"
"Mecklenburg-
Vorpommern","473.271","328.197","373.688","197.901","1.125","8"
"Niedersachsen","2.442.572","1.610.354","1.733.010","709.066","25.385","209"
"Nordrhein-
Westfalen","5.459.913","4.038.107","4.111.511","1.720.419","91.152","864"
"Rheinland-Pfalz","1.296.329","830.576","817.650","353.486","11.592","55"
"Saarland","330.316","270.165","206.696","93.769","4.992","30"
"Sachsen","1.192.930","905.965","671.025","341.544","6.794","54"
"Sachsen-Anhalt","663.184","445.813","418.157","195.961","2.943","72"
"Schleswig-
Holstein","923.646","615.609","680.210","281.777","4.918","13"
"Thüringen","710.215","435.879","347.145","182.091","2.977","53"
"Gesamt","25.542.198","17.684.512","16.909.662","7.480.827","331.026","4.830"
