"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","499.678","163","4.501","1.154","10","10.175","92"
"Bayern","646.844","263","4.928","1.151","9","15.187","116"
"Berlin","179.979","67","4.905","263","7","3.547","97"
"Brandenburg","108.643","1","4.308","59","2","3.789","150"
"Bremen","27.406","14","4.023","51","7","483","71"
"Hamburg","77.154","19","4.177","165","9","1.588","86"
"Hessen","290.345","96","4.617","552","9","7.494","119"
"Mecklenburg-
Vorpommern","44.116","13","2.743","34","2","1.149","71"
"Niedersachsen","260.752","73","3.262","327","4","5.740","72"
"Nordrhein-Westfalen","815.130","167","4.542","1.333","7","17.083","95"
"Rheinland-Pfalz","154.968","39","3.785","329","8","3.874","95"
"Saarland","41.405","16","4.196","101","10","1.019","103"
"Sachsen","285.706","38","7.016","166","4","10.040","247"
"Sachsen-Anhalt","99.185","9","4.519","61","3","3.417","156"
"Schleswig-Holstein","63.795","15","2.197","131","5","1.619","56"
"Thüringen","128.692","23","6.032","133","6","4.319","202"
"Gesamt","3.723.798","1.016","4.478","6.010","7","90.523","109"
