"0","1","2","3","4","5","6","7"
"Letzte 7 Tage 
Fälle kumulativ 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
100.000 
100.000 
100.000 
Fälle 
Fälle 
Fälle 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","358.479","1.339","3.229","14.145","127","8.643","77,9"
"Bayern","492.402","1.629","3.752","18.157","138","13.148","100,2"
"Berlin","144.007","296","3.924","5.362","146","3.038","82,8"
"Brandenburg","86.684","264","3.437","3.566","141","3.276","129,9"
"Bremen","20.631","97","3.029","927","136","401","58,9"
"Hamburg","59.979","252","3.247","2.533","137","1.372","74,3"
"Hessen","215.258","705","3.423","8.723","139","6.283","99,9"
"Mecklenburg-
Vorpommern","29.884","104","1.858","1.716","107","847","52,7"
"Niedersachsen","194.245","857","2.430","9.417","118","4.814","60,2"
"Nordrhein-Westfalen","602.558","1.511","3.357","23.265","130","14.113","78,6"
"Rheinland-Pfalz","114.649","591","2.800","4.341","106","3.306","80,8"
"Saarland","31.509","41","3.193","779","79","924","93,6"
"Sachsen","218.503","1.078","5.366","8.161","200","8.332","204,6"
"Sachsen-Anhalt","71.743","592","3.269","3.670","167","2.694","122,7"
"Schleswig-Holstein","49.041","152","1.689","1.991","69","1.426","49,1"
"Thüringen","92.701","364","4.345","5.016","235","3.296","154,5"
"Gesamt","2.782.273","9.872","3.345","111.769","134","75.913","91,3"
