"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","463.793","2.556","4.178","16.524","149","9.515","86"
"Bayern","612.095","2.479","4.664","15.871","121","14.391","110"
"Berlin","172.330","593","4.696","3.561","97","3.265","89"
"Brandenburg","104.674","332","4.151","2.314","92","3.626","144"
"Bremen","26.017","82","3.819","754","111","461","68"
"Hamburg","73.626","292","3.986","1.437","78","1.517","82"
"Hessen","271.849","1.180","4.323","7.742","123","7.045","112"
"Mecklenburg-
Vorpommern","41.813","259","2.600","1.469","91","1.041","65"
"Niedersachsen","246.084","1.104","3.079","6.854","86","5.404","68"
"Nordrhein-Westfalen","765.050","3.533","4.263","23.867","133","15.914","89"
"Rheinland-Pfalz","144.933","718","3.540","4.256","104","3.613","88"
"Saarland","38.562","167","3.907","1.049","106","967","98"
"Sachsen","271.607","1.159","6.670","7.230","178","9.264","228"
"Sachsen-Anhalt","93.975","456","4.282","2.707","123","3.163","144"
"Schleswig-Holstein","60.328","220","2.078","1.514","52","1.524","52"
"Thüringen","120.937","555","5.669","3.918","184","3.938","185"
"Gesamt","3.507.673","15.685","4.218","101.067","122","84.648","102"
