"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","501.017","20","4.514","608","5,5","10.279","93"
"Bayern","647.991","58","4.937","733","5,6","15.272","116"
"Berlin","180.268","3","4.913","178","4,9","3.559","97"
"Brandenburg","108.718","0","4.311","58","2,3","3.807","151"
"Bremen","27.476","4","4.033","51","7,5","488","72"
"Hamburg","77.466","11","4.194","161","8,7","1.597","86"
"Hessen","291.195","14","4.631","488","7,8","7.542","120"
"Mecklenburg-
Vorpommern","44.163","1","2.746","21","1,3","1.156","72"
"Niedersachsen","261.217","9","3.268","297","3,7","5.769","72"
"Nordrhein-Westfalen","816.833","61","4.551","1.000","5,6","17.166","96"
"Rheinland-Pfalz","155.329","19","3.794","211","5,2","3.893","95"
"Saarland","41.519","2","4.207","65","6,6","1.026","104"
"Sachsen","285.920","1","7.022","86","2,1","10.087","248"
"Sachsen-Anhalt","99.245","2","4.522","23","1,0","3.427","156"
"Schleswig-Holstein","63.963","6","2.203","106","3,7","1.623","56"
"Thüringen","128.804","1","6.038","84","3,9","4.340","203"
"Gesamt","3.731.124","212","4.486","4.170","5,0","91.031","109"
