"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","480.953","1.863","4.333","9.738","88","9.751","88"
"Bayern","628.742","1.735","4.791","9.722","74","14.660","112"
"Berlin","176.035","381","4.797","2.258","62","3.412","93"
"Brandenburg","106.927","270","4.240","1.408","56","3.685","146"
"Bremen","26.625","35","3.909","406","60","469","69"
"Hamburg","75.144","58","4.068","653","35","1.535","83"
"Hessen","280.751","1.169","4.465","5.131","82","7.175","114"
"Mecklenburg-
Vorpommern","43.222","218","2.688","852","53","1.089","68"
"Niedersachsen","253.319","744","3.169","3.989","50","5.515","69"
"Nordrhein-Westfalen","789.621","2.270","4.400","14.343","80","16.356","91"
"Rheinland-Pfalz","149.657","382","3.656","2.717","66","3.662","89"
"Saarland","39.870","182","4.040","825","84","981","99"
"Sachsen","279.227","745","6.857","3.579","88","9.455","232"
"Sachsen-Anhalt","96.852","240","4.413","1.527","70","3.245","148"
"Schleswig-Holstein","61.948","201","2.133","941","32","1.570","54"
"Thüringen","125.202","547","5.869","2.460","115","4.105","192"
"Gesamt","3.614.095","11.040","4.346","60.549","73","86.665","104"
