"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","458.183","3.911","4.128","17.686","159","9.465","85"
"Bayern","606.634","3.200","4.622","16.243","124","14.317","109"
"Berlin","171.141","850","4.664","3.805","104","3.241","88"
"Brandenburg","103.954","547","4.122","2.479","98","3.604","143"
"Bremen","25.831","169","3.792","821","121","458","67"
"Hamburg","73.054","226","3.955","1.442","78","1.513","82"
"Hessen","269.334","1.613","4.283","8.385","133","7.007","111"
"Mecklenburg-
Vorpommern","41.324","259","2.570","1.640","102","1.018","63"
"Niedersachsen","243.505","1.461","3.046","7.184","90","5.368","67"
"Nordrhein-Westfalen","757.423","4.913","4.220","25.904","144","15.808","88"
"Rheinland-Pfalz","143.448","944","3.504","4.404","108","3.590","88"
"Saarland","38.212","260","3.872","1.212","123","963","98"
"Sachsen","268.896","1.856","6.604","7.326","180","9.207","226"
"Sachsen-Anhalt","92.968","665","4.236","2.871","131","3.148","143"
"Schleswig-Holstein","59.861","289","2.061","1.588","55","1.520","52"
"Thüringen","119.735","790","5.612","4.410","207","3.899","183"
"Gesamt","3.473.503","21.953","4.177","107.400","129","84.126","101"
