"0","1"
"Cumulative cases  
Last 7 days 
Cumulative deaths",""
"7-day 
Cases/ 
Cases in 
Number of 
Total number 
Number of 
incidence/ 
Number of 
Federal State 
100,000 
the last 
deaths/ 
of cases 
new cases 
100,000 
deaths 
pop. 
7 days 
100,000 pop. 
pop.",""
"Baden-Wuerttemberg","316,560 
988 
2,852 
5,551 
50 
8,068 
72.7"
"Bavaria","436,465 
1,241 
3,326 
8,116 
62 
12,381 
94.3"
"Berlin","129,247 
311 
3,522 
2,397 
65 
2,817 
76.8"
"Brandenburg","76,475 
251 
3,032 
1,597 
63 
2,996 
118.8"
"Bremen","17,997 
103 
2,642 
544 
80 
339 
49.8"
"Hamburg","51,653 
203 
2,796 
1,344 
73 
1,270 
68.8"
"Hesse","188,380 
589 
2,996 
3,988 
63 
5,824 
92.6"
"Mecklenburg- 
Western Pomerania","24,488 
175 
1,523 
1,048 
65 
739 
46.0"
"Lower Saxony","164,437 
843 
2,057 
5,066 
63 
4,296 
53.7"
"North Rhine-Westphalia","532,344 
1,641 
2,966 
11,512 
64 
13,044 
72.7"
"Rhineland-Palatinate","101,996 
173 
2,491 
1,996 
49 
3,092 
75.5"
"Saarland","28,921 
124 
2,931 
718 
73 
869 
88.1"
"Saxony","194,165 
458 
4,768 
3,167 
78 
7,755 
190.4"
"Saxony-Anhalt","60,472 
236 
2,755 
1,879 
86 
2,414 
110.0"
"Schleswig-Holstein","42,445 
210 
1,462 
1,470 
51 
1,282 
44.1"
"Thuringia","76,291 
344 
3,576 
2,699 
127 
2,859 
134.0"
"Total","2,442,336 
7,890 
2,937 
53,092 
64 
70,045 
84.2"
