"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","431.437","1.798","3.887","21.906","197","9.256","83"
"Bayern","581.618","1.352","4.431","22.795","174","14.028","107"
"Berlin","165.095","794","4.499","5.009","137","3.192","87"
"Brandenburg","100.266","108","3.976","3.065","122","3.518","139"
"Bremen","24.660","72","3.620","1.082","159","447","66"
"Hamburg","70.701","231","3.827","1.934","105","1.467","79"
"Hessen","256.451","612","4.078","11.123","177","6.802","108"
"Mecklenburg-
Vorpommern","38.708","80","2.407","2.179","135","976","61"
"Niedersachsen","232.647","806","2.910","9.590","120","5.242","66"
"Nordrhein-Westfalen","719.818","2.952","4.011","33.496","187","15.287","85"
"Rheinland-Pfalz","136.773","494","3.341","5.726","140","3.528","86"
"Saarland","36.380","119","3.686","1.425","144","954","97"
"Sachsen","256.616","596","6.302","9.224","227","8.990","221"
"Sachsen-Anhalt","88.180","364","4.018","3.963","181","3.027","138"
"Schleswig-Holstein","57.624","153","1.984","2.098","72","1.502","52"
"Thüringen","113.327","445","5.312","4.739","222","3.752","176"
"Gesamt","3.310.301","10.976","3.980","139.354","168","81.968","99"
