"0","1","2","3"
"Todesfälle 
 
Fälle kumulativ 
Letzte 7 Tage 
kumulativ","","",""
"Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Vortag 
Einw. 
Einw. 
Einw.","","",""
"Baden-Württemberg","170.904 
2.639 
1.540","17.030 
153","3.170 
28,6"
"Bayern","238.442 
3.828 
1.817","23.485 
179","4.518 
34,4"
"Berlin","73.430 
1.348 
2.001","6.471 
176","732 
19,9"
"Brandenburg","23.373 
632 
927","2.746 
109","435 
17,2"
"Bremen","10.973 
114 
1.611","734 
108","142 
20,8"
"Hamburg","27.363 
282 
1.481","1.884 
102","435 
23,5"
"Hessen","99.560 
1.661 
1.583","9.890 
157","1.578 
25,1"
"Mecklenburg-
Vorpommern","7.058 
223 
439","919 
57","86 
5,3"
"Niedersachsen","79.187 
891 
991","5.931 
74","1.299 
16,3"
"Nordrhein-Westfalen","294.740 
4.072 
1.642","26.478 
148","4.167 
23,2"
"Rheinland-Pfalz","51.185 
1.423 
1.250","5.660 
138","736 
18,0"
"Saarland","14.412 
239 
1.460","1.346 
136","286 
29,0"
"Sachsen","73.767 
2.131 
1.812","12.835 
315","1.381 
33,9"
"Sachsen-Anhalt","15.832 
436 
721","2.711 
124","229 
10,4"
"Schleswig-Holstein","16.277 
313 
561","1.686 
58","271 
9,3"
"Thüringen","22.021 
583 
1.032","3.987 
187","467 
21,9"
"Gesamt","1.218.524 
20.815 
1.465","123.793 
149","19.932 
24,0"
