"0","1"
"Cumulative cases  
Last 7 days 
Cumulative deaths",""
"7-day 
Number 
Cases/ 
Cases in 
incidence 
Number 
Number of 
Total number of 
Federal State 
of new 
100,000 
the last 
per 
of 
deaths/ 
cases 
cases* 
pop. 
7 days 
100,000 
deaths 
100,000 pop. 
pop.",""
"Baden-Wuerttemberg","242,744 
1,856 
2,187 
14,522 
131 
4,894 
44.1"
"Bavaria","330,855 
2,215 
2,521 
21,108 
161 
6,811 
51.9"
"Berlin","97,637 
207 
2,661 
4,687 
128 
1,277 
34.8"
"Brandenburg","42,384 
110 
1,681 
4,552 
180 
982 
38.9"
"Bremen","13,703 
22 
2,012 
579 
85 
201 
29.5"
"Hamburg","37,293 
308 
2,019 
2,189 
119 
658 
35.6"
"Hesse","139,368 
989 
2,216 
8,454 
134 
2,917 
46.4"
"Mecklenburg- 
Western Pomerania","12,362 
194 
769 
1,487 
92 
173 
10.8"
"Lower Saxony","109,810 
1,203 
1,374 
7,112 
89 
2,016 
25.2"
"North Rhine-Westphalia","398,678 
1,798 
2,221 
22,169 
124 
6,701 
37.3"
"Rhineland-Palatinate","73,545 
760 
1,796 
4,829 
118 
1,459 
35.6"
"Saarland","20,111 
111 
2,038 
957 
97 
440 
44.6"
"Saxony","137,031 
1,634 
3,365 
13,892 
341 
3,302 
81.1"
"Saxony-Anhalt","30,708 
573 
1,399 
3,545 
162 
666 
30.3"
"Schleswig-Holstein","25,247 
113 
869 
2,156 
74 
436 
15.0"
"Thuringia","43,875 
597 
2,057 
5,221 
245 
1,027 
48.1"
"Total","1,755,351 
12,690 
2,111 
117,459 
141 
33,960 
40.8"
