"0","1","2","3","4","5","6","7"
"Letzte 7 Tage 
Fälle kumulativ 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
100.000 
100.000 
100.000 
Fälle 
Fälle 
Fälle 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","364.953","3.328","3.288","14.413","130","8.704","78,4"
"Bayern","500.549","4.228","3.814","18.638","142","13.263","101,1"
"Berlin","146.257","1.012","3.986","4.565","124","3.054","83,2"
"Brandenburg","88.464","871","3.508","3.692","146","3.306","131,1"
"Bremen","20.970","149","3.078","870","128","406","59,6"
"Hamburg","61.257","590","3.316","2.568","139","1.382","74,8"
"Hessen","219.484","1.879","3.490","8.683","138","6.338","100,8"
"Mecklenburg-
Vorpommern","30.650","287","1.906","1.557","97","867","53,9"
"Niedersachsen","198.107","2.006","2.478","9.038","113","4.880","61,0"
"Nordrhein-Westfalen","612.947","4.531","3.415","23.174","129","14.230","79,3"
"Rheinland-Pfalz","116.795","871","2.853","4.651","114","3.328","81,3"
"Saarland","31.923","186","3.235","850","86","926","93,8"
"Sachsen","222.264","1.929","5.458","7.747","190","8.373","205,6"
"Sachsen-Anhalt","73.163","731","3.333","3.550","162","2.713","123,6"
"Schleswig-Holstein","49.996","406","1.722","2.165","75","1.436","49,5"
"Thüringen","95.394","1.296","4.472","5.419","254","3.337","156,4"
"Gesamt","2.833.173","24.300","3.407","111.580","134","76.543","92,0"
