"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
100.000 
100.000 
100.000 
Bundesland 
Fälle 
Fälle 
Fälle 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","427.854","2.963","3.854","21.145","190","9.211","83"
"Bayern","578.061","3.185","4.404","23.098","176","13.966","106"
"Berlin","164.103","485","4.472","4.969","135","3.186","87"
"Brandenburg","99.879","365","3.960","3.176","126","3.502","139"
"Bremen","24.539","159","3.602","1.117","164","444","65"
"Hamburg","70.156","236","3.798","1.899","103","1.461","79"
"Hessen","255.088","1.483","4.057","11.139","177","6.742","107"
"Mecklenburg-
Vorpommern","38.520","277","2.395","2.243","139","964","60"
"Niedersachsen","230.846","1.195","2.888","8.917","112","5.224","65"
"Nordrhein-Westfalen","714.360","4.838","3.980","33.369","186","15.218","85"
"Rheinland-Pfalz","135.583","567","3.312","5.604","137","3.514","86"
"Saarland","36.236","260","3.672","1.446","147","949","96"
"Sachsen","254.934","1.259","6.261","8.909","219","8.933","219"
"Sachsen-Anhalt","87.365","504","3.981","3.723","170","3.013","137"
"Schleswig-Holstein","57.351","330","1.975","2.206","76","1.496","52"
"Thüringen","112.543","667","5.275","4.802","225","3.741","175"
"Gesamt","3.287.418","18.773","3.953","137.762","166","81.564","98"
