"0","1"
"Cumulative cases  
Last 7 days 
Cumulative deaths",""
"7-day 
Number 
Cases/ 
Cases in 
incidence 
Number 
Number of 
Total number of 
Federal State 
of new 
100,000 
the last 
per 
of 
deaths/ 
cases 
cases* 
pop. 
7 days 
100,000 
deaths 
100,000 pop. 
pop.",""
"Baden-Wuerttemberg","234,498 
2,812 
2,113 
15,695 
141 
4,695 
42.3"
"Bavaria","318,339 
3,405 
2,425 
20,309 
155 
6,549 
49.9"
"Berlin","95,729 
1,287 
2,609 
5,145 
140 
1,213 
33.1"
"Brandenburg","39,627 
1,807 
1,571 
3,884 
154 
884 
35.1"
"Bremen","13,411 
152 
1,969 
646 
95 
191 
28.0"
"Hamburg","35,947 
463 
1,946 
1,917 
104 
614 
33.2"
"Hesse","133,475 
1,271 
2,123 
7,949 
126 
2,711 
43.1"
"Mecklenburg- 
Western Pomerania","11,623 
455 
723 
1,324 
82 
161 
10.0"
"Lower Saxony","104,768 
1,018 
1,311 
6,362 
80 
1,908 
23.9"
"North Rhine-Westphalia","387,437 
4,429 
2,159 
23,782 
133 
6,451 
35.9"
"Rhineland-Palatinate","70,749 
725 
1,728 
4,713 
115 
1,378 
33.7"
"Saarland","19,539 
198 
1,980 
1,112 
113 
421 
42.7"
"Saxony","128,785 
2,364 
3,163 
13,436 
330 
3,003 
73.7"
"Saxony-Anhalt","28,316 
562 
1,290 
3,440 
157 
560 
25.5"
"Schleswig-Holstein","24,284 
500 
836 
2,395 
82 
411 
14.2"
"Thuringia","40,658 
1,011 
1,906 
5,442 
255 
957 
44.9"
"Total","1,687,185 
22,459 
2,029 
117,551 
141 
32,107 
38.6"
