"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","412.646","3.839","3.717","19.157","173","9.113","82"
"Bayern","562.346","4.642","4.285","24.253","185","13.823","105"
"Berlin","160.475","708","4.373","4.980","136","3.162","86"
"Brandenburg","97.666","554","3.873","3.493","139","3.479","138"
"Bremen","23.794","196","3.493","1.157","170","440","65"
"Hamburg","68.739","227","3.721","2.084","113","1.438","78"
"Hessen","246.957","2.178","3.927","9.862","157","6.675","106"
"Mecklenburg-
Vorpommern","36.939","494","2.297","2.214","138","945","59"
"Niedersachsen","223.866","1.426","2.801","9.236","116","5.158","65"
"Nordrhein-Westfalen","690.253","6.015","3.846","30.604","171","15.057","84"
"Rheinland-Pfalz","131.645","895","3.216","5.703","139","3.481","85"
"Saarland","35.144","289","3.561","1.272","129","944","96"
"Sachsen","248.072","1.554","6.092","8.178","201","8.791","216"
"Sachsen-Anhalt","84.455","564","3.848","3.760","171","2.964","135"
"Schleswig-Holstein","55.907","429","1.925","2.087","72","1.486","51"
"Thüringen","109.288","874","5.123","5.125","240","3.678","172"
"Gesamt","3.188.192","24.884","3.833","133.165","160","80.634","97"
