"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Bundesland 
Vortag 
EW 
EW 
EW","","",""
"Baden-Württemberg","261.487 
1.486 
2.356","15.806 
142","5.575 
50,2"
"Bayern","356.922 
2.428 
2.719","21.171 
161","7.913 
60,3"
"Berlin","106.190 
340 
2.894","6.849 
187","1.565 
42,6"
"Brandenburg","50.180 
649 
1.990","6.338 
251","1.286 
51,0"
"Bremen","14.365 
42 
2.109","619 
91","223 
32,7"
"Hamburg","40.687 
211 
2.203","2.585 
140","820 
44,4"
"Hessen","150.790 
561 
2.398","10.223 
163","3.513 
55,9"
"Mecklenburg-
Vorpommern","14.757 
90 
918","2.157 
134","242 
15,0"
"Niedersachsen","120.634 
1.101 
1.509","9.490 
119","2.340 
29,3"
"Nordrhein-
Westfalen","429.506 
1.796 
2.393","26.924 
150","7.978 
44,5"
"Rheinland-Pfalz","80.449 
610 
1.965","5.673 
139","1.780 
43,5"
"Saarland","21.900 
32 
2.219","1.655 
168","543 
55,0"
"Sachsen","155.627 
1.107 
3.822","14.652 
360","4.130 
101,4"
"Sachsen-Anhalt","37.300 
1.566 
1.699","4.733 
216","870 
39,6"
"Schleswig-Holstein","28.624 
144 
986","2.895 
100","554 
19,1"
"Thüringen","51.606 
334 
2.419","6.746 
316","1.354 
63,5"
"Gesamt","1.921.024 
12.497 
2.310","138.516 
167","40.686 
48,9"
