"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","454.272","2.885","4.092","17.918","161","9.440","85"
"Bayern","603.434","2.859","4.598","17.210","131","14.279","109"
"Berlin","170.291","730","4.641","3.845","105","3.232","88"
"Brandenburg","103.407","442","4.100","2.559","101","3.597","143"
"Bremen","25.662","150","3.767","841","123","454","67"
"Hamburg","72.828","253","3.943","1.588","86","1.509","82"
"Hessen","267.721","1.732","4.258","8.745","139","6.982","111"
"Mecklenburg-
Vorpommern","41.065","378","2.554","1.700","106","1.011","63"
"Niedersachsen","242.044","1.138","3.028","7.383","92","5.350","67"
"Nordrhein-Westfalen","752.510","4.055","4.193","26.606","148","15.759","88"
"Rheinland-Pfalz","142.504","571","3.481","4.657","114","3.577","87"
"Saarland","37.952","176","3.846","1.247","126","963","98"
"Sachsen","267.040","1.170","6.558","7.220","177","9.179","225"
"Sachsen-Anhalt","92.303","434","4.206","2.895","132","3.138","143"
"Schleswig-Holstein","59.572","296","2.052","1.584","55","1.517","52"
"Thüringen","118.945","765","5.575","4.473","210","3.889","182"
"Gesamt","3.451.550","18.034","4.150","110.471","133","83.876","101"
