"0","1"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Bundesland 
Vortag 
EW 
EW 
EW",""
"Baden-Württemberg","791 
2.755 
5.388 
49 
7.741 
69,7 
305.815"
"Bayern","420.472 
828 
3.204 
7.295 
56 
11.679 
89,0"
"Berlin","124.711 
193 
3.399 
2.100 
57 
2.604 
71,0"
"Brandenburg","73.087 
234 
2.898 
1.804 
72 
2.790 
110,6"
"Bremen","16.909 
51 
2.482 
400 
59 
310 
45,5"
"Hamburg","48.865 
179 
2.645 
1.146 
62 
1.196 
64,7"
"Hessen","180.444 
394 
2.870 
3.456 
55 
5.448 
86,6"
"Mecklenburg-
Vorpommern","22.276 
169 
1.385 
1.071 
67 
628 
39,1"
"Niedersachsen","153.187 
733 
1.916 
4.659 
58 
3.836 
48,0"
"Nordrhein-
Westfalen","509.494 
1.291 
2.839 
9.714 
54 
12.096 
67,4"
"Rheinland-Pfalz","97.640 
119 
2.385 
1.907 
47 
2.877 
70,3"
"Saarland","27.593 
79 
2.796 
709 
72 
817 
82,8"
"Sachsen","187.317 
256 
4.600 
2.648 
65 
7.127 
175,0"
"Sachsen-Anhalt","56.457 
326 
2.572 
1.675 
76 
2.109 
96,1"
"Schleswig-Holstein","39.539 
188 
1.362 
1.661 
57 
1.126 
38,8"
"Thüringen","70.755 
283 
3.317 
2.082 
98 
2.576 
120,7"
"Gesamt","2.334.561 
6.114 
2.807 
47.715 
57 
64.960 
78,1"
