"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","498.622","275","4.492","2.083","19","10.113","91"
"Bayern","645.549","328","4.919","2.061","16","15.136","115"
"Berlin","179.754","20","4.899","446","12","3.529","96"
"Brandenburg","108.605","-17","4.306","151","6","3.760","149"
"Bremen","27.355","9","4.016","76","11","481","71"
"Hamburg","76.963","38","4.166","225","12","1.581","86"
"Hessen","289.690","126","4.607","999","16","7.448","118"
"Mecklenburg-
Vorpommern","44.089","12","2.742","69","4","1.147","71"
"Niedersachsen","260.357","111","3.257","589","7","5.709","71"
"Nordrhein-Westfalen","813.878","306","4.535","2.580","14","17.008","95"
"Rheinland-Pfalz","154.624","74","3.777","600","15","3.827","93"
"Saarland","41.304","32","4.185","191","19","1.018","103"
"Sachsen","285.514","56","7.012","338","8","9.991","245"
"Sachsen-Anhalt","99.110","17","4.516","114","5","3.405","155"
"Schleswig-Holstein","63.665","23","2.192","203","7","1.618","56"
"Thüringen","128.546","45","6.025","267","13","4.303","202"
"Gesamt","3.717.625","1.455","4.470","10.992","13","90.074","108"
