"0","1","2","3"
"Federal State","Total 
Number 
Cases/ 
number 
of new 
100,000 
of cases 
cases 
pop.","7-day 
Cases in 
incidence 
the last 
per 
7 days 
100,000 
pop.","Number of 
Number 
deaths/ 
of 
100,000 
deaths 
pop."
"Baden-Wuerttemberg","50,934 
171 
460","1,762 
15.9","1,890 
17.1"
"Bavaria","69,631 
145 
532","2,130 
16.3","2,672 
20.4"
"Berlin","15,648 
74 
417","1,420 
37.9","231 
6.2"
"Brandenburg","4,421 
28 
176","183 
7.3","169 
6.7"
"Bremen","2,619 
21 
383","249 
36.5","59 
8.6"
"Hamburg","8,241 
65 
448","445 
24.2","273 
14.8"
"Hesse","19,978 
190 
319","1,294 
20.7","553 
8.8"
"Mecklenburg-Western 
Pomerania*","1,220 
0 
76","56 
3.5","20 
1.2"
"Lower Saxony","21,075 
121 
264","1,021 
12.8","690 
8.6"
"North Rhine-Westphalia","72,995 
414 
407","3,986 
22.2","1,884 
10.5"
"Rhineland-Palatinate","11,086 
71 
271","489 
12.0","256 
6.3"
"Saarland*","3,380 
0 
341","83 
8.4","177 
17.9"
"Saxony","7,502 
43 
184","321 
7.9","239 
5.9"
"Saxony-Anhalt","2,746 
10 
124","138 
6.2","68 
3.1"
"Schleswig-Holstein","4,938 
24 
170","243 
8.4","162 
5.6"
"Thuringia","4,205 
5 
196","145 
6.8","191 
8.9"
"300,619 
1,382 
362 
13,965 
16.8 
9,534 
11.5 
Total","","",""
