"0","1"
"Korrektur 04.05.2020  
Bei der Erhebung der 
Testzahlen für KW 17 
wurden versehentlich 
mehr durchgeführte Tests 
(467.137) und positive 
Tests (25.222; 5,4%) 
gezählt. Die korrekte 
Anzahl der durchgeführten 
Tests beträgt 347.578, 
davon positive Tests 
17.367 (5,0%). Die korrekte 
Summe ist 2.427.493.","KW 
Anzahl 
Positiv 
Anzahl übermittelnde 
Testungen 
getestet 
Labore"
"","Bis einschl. 10 
124.716 
3.892 (3,1%) 
90"
"","11 
127.457 
7.582 (5,9%) 
114"
"","12 
348.619 
23.820 (6,8%) 
152"
"","13 
361.515 
31.414 (8,7%) 
151"
"","14 
408.348 
36.885 (9,0%) 
154"
"","15 
379.233 
30.728 (8,1%) 
163"
"","16 
330.027 
21.993 (6,7%) 
167"
"","17 
347.578 
17.367 (5,0%) 
174"
"","Summe 
2.427.493 
173.681 
 
(7,1%)"
