"0","1","2","3"
"Todesfälle 
 
Fälle kumulativ 
Letzte 7 Tage 
kumulativ","","",""
"Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Einw. 
Vortag 
Einw. 
Einw.","","",""
"Baden-Württemberg","42.367 
248 
383","1.477 
13,3","1.867 
16,9"
"Bayern","57.781 
296 
442","1.816 
13,9","2.641 
20,2"
"Berlin","11.347 
81 
303","450 
12,0","226 
6,0"
"Brandenburg","3.875 
4 
154","36 
1,4","169 
6,7"
"Bremen","2.015 
13 
295","92 
13,5","57 
8,3"
"Hamburg","6.313 
51 
343","163 
8,9","267 
14,5"
"Hessen","15.692 
96 
250","653 
10,4","534 
8,5"
"Mecklenburg-
Vorpommern","1.009 
1 
63","10 
0,6","20 
1,2"
"Niedersachsen","16.888 
93 
212","463 
5,8","662 
8,3"
"Nordrhein-Westfalen","59.263 
240 
330","1.613 
9,0","1.817 
10,1"
"Rheinland-Pfalz","9.168 
63 
224","371 
9,1","243 
5,9"
"Saarland","3.157 
6 
319","64 
6,5","174 
17,6"
"Sachsen","6.022 
32 
148","147 
3,6","225 
5,5"
"Sachsen-Anhalt","2.250 
6 
102","40 
1,8","65 
2,9"
"Schleswig-Holstein","4.064 
19 
140","102 
3,5","160 
5,5"
"Thüringen","3.644 
7 
170","67 
3,1","186 
8,7"
"Gesamt","244.855 
1.256 
295","7.564 
9,1","9.313 
11,2"
