"0","1","2","3"
"Total 
Number 
Cases in 
7-day 
Number 
Number of 
Cases/ 
Federal State 
number 
of new 
the last 
incidence per 
of 
deaths/ 
100,000 pop. 
of cases 
cases 
7 days 
100,000 pop. 
deaths 
100,000 pop.","","",""
"Baden-Wuerttemberg","39,227 
259 
354","959 
8.7","1,860 
16.8"
"Bavaria","54,101 
394 
414","1,595 
12.2","2,631 
20.1"
"Berlin","10,463 
69 
279","400 
10.7","224 
6.0"
"Brandenburg","3,740 
12 
149","60 
2.4","169 
6.7"
"Bremen","1,877 
12 
275","55 
8.1","56 
8.2"
"Hamburg","5,954 
27 
323","119 
6.5","264 
14.3"
"Hesse","14,029 
187 
224","928 
14.8","528 
8.4"
"Mecklenburg-Western  
Pomerania","981 
3 
61","27 
1.7","20 
1.2"
"Lower Saxony","15,724 
162 
197","471 
5.9","658 
8.2"
"North Rhine-
Westphalia","55,770 
395 
311","2,490 
13.9","1,790 
10.0"
"Rhineland-Palatinate","8,427 
93 
206","430 
10.5","242 
5.9"
"Saarland","3,039 
22 
307","78 
7.9","174 
17.6"
"Saxony","5,769 
20 
141","65 
1.6","226 
5.5"
"Saxony-Anhalt","2,146 
12 
97","48 
2.2","65 
2.9"
"Schleswig-Holstein","3,851 
26 
133","130 
4.5","160 
5.5"
"Thuringia","3,523 
14 
164","47 
2.2","186 
8.7"
"Total 
228,621 
1,707 
275 
7,902 
9.5 
9,253 
11.1","","",""
