"0","1","2","3"
"Federal State","Total 
Number 
Cases/ 
number 
of new 
100,000 
of cases 
cases* 
pop.","7-day 
Cases in 
incidence 
the last 
per 
7 days 
100,000 
pop.","Number of 
Number 
deaths/ 
of 
100,000 
deaths 
pop."
"Baden-Wuerttemberg","164,843 
2,494 
1,485","16,007 
144","3,007 
27.1"
"Bavaria","229,675 
3,318 
1,750","22,974 
175","4,289 
32.7"
"Berlin","71,087 
1,319 
1,937","6,673 
182","679 
18.5"
"Brandenburg","22,206 
437 
881","2,833 
112","419 
16.6"
"Bremen","10,761 
129 
1,580","736 
108","136 
20.0"
"Hamburg","26,619 
347 
1,441","1,930 
104","419 
22.7"
"Hesse","95,954 
1,517 
1,526","9,182 
146","1,460 
23.2"
"Mecklenburg- 
Western Pomerania","6,687 
82 
416","758 
47","74 
4.6"
"Lower Saxony","77,033 
738 
964","5,749 
72","1,261 
15.8"
"North Rhine-Westphalia","284,816 
3,324 
1,587","25,063 
140","3,924 
21.9"
"Rhineland-Palatinate","48,779 
519 
1,192","5,164 
126","666 
16.3"
"Saarland","13,887 
244 
1,407","1,271 
129","271 
27.5"
"Saxony","68,244 
2,414 
1,676","12,240 
301","1,279 
31.4"
"Saxony-Anhalt","14,616 
276 
666","2,322 
106","208 
9.5"
"Schleswig-Holstein","15,627 
235 
538","1,424 
49","264 
9.1"
"Thuringia","20,489 
374 
960","3,554 
167","416 
19.5"
"Total","1,171,323 
17,767 
1,408","117,880 
142","18,772 
22.6"
