"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ 
Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Vortag 
Einw. 
Einw. 
Einw.","","",""
"Baden-Württemberg","46.428 
387 
419","1.563 
14,1","1.869 
16,9"
"Bayern","63.918 
286 
489","2.459 
18,8","2.648 
20,2"
"Berlin","12.733 
140 
340","560 
14,9","227 
6,1"
"Brandenburg","4.060 
9 
162","59 
2,3","169 
6,7"
"Bremen","2.177 
3 
319","65 
9,5","59 
8,6"
"Hamburg","7.010 
46 
381","242 
13,1","269 
14,6"
"Hessen","17.342 
109 
277","725 
11,6","543 
8,7"
"Mecklenburg-Vorpommern","1.093 
12 
68","46 
2,9","20 
1,2"
"Niedersachsen","18.529 
273 
232","777 
9,7","667 
8,4"
"Nordrhein-Westfalen","64.084 
519 
357","2.457 
13,7","1.842 
10,3"
"Rheinland-Pfalz","9.990 
61 
245","358 
8,8","247 
6,0"
"Saarland","3.214 
-48* 
324","58 
5,9","176 
17,8"
"Sachsen","6.581 
59 
161","260 
6,4","226 
5,5"
"Sachsen-Anhalt","2.380 
2 
108","57 
2,6","66 
3,0"
"Schleswig-Holstein","4.350 
39 
150","138 
4,8","161 
5,6"
"Thüringen","3.884 
19 
181","136 
6,3","189 
8,8"
"Gesamt","267.773 
1.916 
322","9.960 
12,0","9.378 
11,3"
