"0","1","2","3"
"Federal State","Total 
Number 
Cases/ 
number 
of new 
100,000 
of cases 
cases 
pop.","7-day 
Cases in 
incidence 
the last 
per 
7 days 
100,000 
pop.","Number of 
Number 
deaths/ 
of 
100,000 
deaths 
pop."
"Baden-Wuerttemberg","53,868 
524 
485","2,869 
25.8","1,901 
17.1"
"Bavaria","72,843 
441 
555","3,166 
24.1","2,685 
20.5"
"Berlin","17,828 
273 
486","2,142 
58.4","234 
6.4"
"Brandenburg","4,740 
48 
188","285 
11.3","169 
6.7"
"Bremen","3,058 
178 
449","452 
66.4","60 
8.8"
"Hamburg","8,912 
98 
482","558 
30.2","277 
15.0"
"Hesse","21,911 
325 
348","1,999 
31.8","560 
8.9"
"Mecklenburg-Western 
Pomerania*","1,373 
0 
85","90 
5.6","20 
1.2"
"Lower Saxony","22,662 
172 
284","1,405 
17.6","697 
8.7"
"North Rhine-Westphalia","79,179 
961 
441","6,128 
34.1","1,911 
10.6"
"Rhineland-Palatinate","11,904 
96 
291","771 
18.8","256 
6.3"
"Saarland","3,673 
87 
372","235 
23.8","177 
17.9"
"Saxony","8,340 
137 
205","737 
18.1","247 
6.1"
"Saxony-Anhalt","2,903 
45 
132","158 
7.2","68 
3.1"
"Schleswig-Holstein","5,235 
26 
180","310 
10.7","162 
5.6"
"Thuringia","4,435 
72 
208","222 
10.4","191 
9.0"
"Total 
322,864 
3,483 
388 
21,527 
25.9 
9,615 
11.6","","",""
