"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
Fälle 
Fälle 
100.000 
100.000 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","450.580","1.402","4.059","20.488","185","9.390","85"
"Bayern","599.791","1.532","4.570","19.084","145","14.203","108"
"Berlin","169.012","57","4.606","4.466","122","3.215","88"
"Brandenburg","102.832","147","4.078","2.652","105","3.576","142"
"Bremen","25.472","229","3.739","881","129","454","67"
"Hamburg","72.385","203","3.919","1.697","92","1.503","81"
"Hessen","265.602","626","4.224","9.585","152","6.904","110"
"Mecklenburg-
Vorpommern","40.594","86","2.524","1.934","120","1.000","62"
"Niedersachsen","240.367","374","3.007","7.956","100","5.324","67"
"Nordrhein-Westfalen","746.246","2.330","4.158","28.453","159","15.593","87"
"Rheinland-Pfalz","141.451","543","3.455","4.964","121","3.562","87"
"Saarland","37.712","41","3.821","1.425","144","961","97"
"Sachsen","265.338","866","6.516","8.774","215","9.120","224"
"Sachsen-Anhalt","91.612","263","4.174","3.446","157","3.097","141"
"Schleswig-Holstein","59.143","98","2.037","1.684","58","1.513","52"
"Thüringen","117.845","363","5.524","4.716","221","3.861","181"
"Gesamt","3.425.982","9.160","4.119","122.205","147","83.276","100"
