"0","1","2","3"
"Federal State","Total 
Number 
Cases/ 
number of 
of new 
100,000 
cases 
cases 
pop.","7-day 
Cases in 
incidence 
the last 
per 
7 days 
100,000 
pop.","Number 
Number of 
of 
deaths/ 
deaths 
100,000 pop."
"Baden-Wuerttemberg","47,107 
172 
426","1,638 
14.8","1,871 
16.9"
"Bavaria","64,919 
294 
496","2,629 
20.1","2,648 
20.2"
"Berlin","13,109 
44 
350","801 
21.4","227 
6.1"
"Brandenburg","4,090 
2 
163","70 
2.8","169 
6.7"
"Bremen","2,219 
4 
325","82 
12.0","59 
8.6"
"Hamburg","7,165 
15 
389","277 
15.0","269 
14.6"
"Hesse","17,637 
51 
281","730 
11.7","544 
8.7"
"Mecklenburg-Western Pomerania*","1,105 
0 
69","41 
2.5","20 
1.2"
"Lower Saxony","18,900 
109 
237","871 
10.9","669 
8.4"
"North Rhine-Westphalia","65,232 
154 
364","2,708 
15.1","1,845 
10.3"
"Rhineland-Palatinate","10,116 
31 
248","340 
8.3","247 
6.0"
"Saarland","3,234 
2 
326","60 
6.1","176 
17.8"
"Saxony","6,692 
13 
164","254 
6.2","226 
5.5"
"Saxony-Anhalt","2,453 
10 
111","94 
4.3","66 
3.0"
"Schleswig-Holstein","4,421 
16 
153","180 
6.2","161 
5.6"
"Thuringia","3,938 
5 
184","130 
6.1","189 
8.8"
"Total 
272,337 
922 
328 
10,905 
13.1 
9,386 
11.3","","",""
