"0","1","2"
"Age group","","week 12 - 20, 
week 21 - 39, 
week 40 - 53,  
week 1,  
2020 
2020 
2020 
2021"
"0 to 14 years","SARI cases (total)","322 
869 
481 
17"
"","Proportion of COVID-19 (%)","0.3% 
0.2% 
3.3% 
5,9%"
"15 to 34 years","SARI cases (total)","178 
189 
315 
20"
"","Proportion of COVID-19 (%)","19% 
13% 
56% 
75%"
"35 to 59 years","SARI cases (total)","534 
510 
1,173 
84"
"","Proportion of COVID-19 (%)","31% 
13% 
67% 
73%"
"60 years and older","SARI cases (total)","1,689 
2,075 
3,525 
327"
"","Proportion of COVID-19 (%)","19% 
2.5% 
56% 
65%"
"Overall","SARI cases (total)","2,723 
3,643 
5,494 
448"
"","Proportion of COVID-19 (%)","19% 
4.0% 
54% 
65%"
