"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","451.387","807","4.066","19.217","173","9.410","85"
"Bayern","600.575","784","4.576","18.370","140","14.242","109"
"Berlin","169.561","549","4.621","4.080","111","3.227","88"
"Brandenburg","102.965","133","4.083","2.635","104","3.593","142"
"Bremen","25.512","40","3.745","844","124","454","67"
"Hamburg","72.575","190","3.929","1.663","90","1.504","81"
"Hessen","265.989","387","4.230","9.199","146","6.933","110"
"Mecklenburg-
Vorpommern","40.687","93","2.530","1.926","120","1.009","63"
"Niedersachsen","240.906","539","3.014","7.879","99","5.344","67"
"Nordrhein-Westfalen","748.455","2.209","4.170","27.582","154","15.689","87"
"Rheinland-Pfalz","141.933","482","3.467","4.916","120","3.564","87"
"Saarland","37.776","64","3.828","1.349","137","962","97"
"Sachsen","265.870","532","6.529","8.315","204","9.148","225"
"Sachsen-Anhalt","91.869","257","4.186","3.352","153","3.109","142"
"Schleswig-Holstein","59.276","133","2.041","1.653","57","1.515","52"
"Thüringen","118.180","335","5.540","4.634","217","3.888","182"
"Gesamt","3.433.516","7.534","4.128","117.614","141","83.591","101"
