"0","1","2","3"
"Federal State","Total 
Number 
Cases/ 
number 
of new 
100,000 
of cases 
cases* 
pop.","7-day 
Cases in 
incidence 
the last 
per 
7 days 
100,000 
pop.","Number of 
Number 
deaths/ 
of 
100,000 
deaths 
pop."
"Baden-Wuerttemberg","82,334 
2,101 
742 
12,585 
113.4 
2,029 
18.3","",""
"Bavaria","107,044 
2,280 
816 
16,175 
123.2 
2,808 
21.4","",""
"Berlin","32,231 
791 
878 
6,025 
164.2 
261 
7.1","",""
"Brandenburg","8,088 
257 
321 
1,333 
52.9 
195 
7.7","",""
"Bremen","5,522 
191 
811 
1,204 
176.7 
72 
10.6","",""
"Hamburg","13,753 
396 
745 
1,861 
100.7 
285 
15.4","",""
"Hesse","42,072 
1,074 
669 
9,361 
148.9 
654 
10.4","",""
"Mecklenburg- 
Western Pomerania","2,865 
83 
178 
707 
44.0 
23 
1.4","",""
"Lower Saxony","36,949 
1,007 
462 
6,260 
78.3 
748 
9.4","",""
"North Rhine-Westphalia","136,116 
3,637 
758 
26,430 
147.3 
2,145 
12.0","",""
"Rhineland-Palatinate","20,574 
471 
503 
3,970 
97.0 
285 
7.0","",""
"Saarland","6,740 
491 
683 
1,413 
143.2 
192 
19.5","",""
"Saxony","17,974 
778 
441 
3,950 
97.0 
322 
7.9","",""
"Saxony-Anhalt","5,204 
137 
237 
1,164 
53.0 
79 
3.6","",""
"Schleswig-Holstein","8,293 
265 
286 
1,564 
53.9 
175 
6.0","",""
"Thuringia","7,171 
218 
336 
1,310 
61.4 
208 
9.7","",""
"Total","532,930 
14,177 
641 
95,312 
114.6 
10,481 
12.6","",""
